categorie,type,prix,adresse,lien
vetements-enfants,Body pour bébé de 0-24mois,750.0,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg
vetements-enfants,Robe pour fille,4500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg
vetements-enfants,Robe fille,22800.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg
vetements-enfants,Vêtements de garçon,2500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg
vetements-enfants,Ensemble pour garçon,4500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg
vetements-enfants,Pyjama enfant en coton,2000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg
vetements-enfants,Cuissards,210.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg
vetements-enfants,Slips pour enfants,7500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg
vetements-enfants,Robe princesse,17500.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg
vetements-enfants,Robes princesse,17500.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg
vetements-enfants,Ensemble 3  pièces,15000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg
vetements-enfants,Robe brodé,10000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg
vetements-enfants,Couverture bébé,4000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg
